image,usable,task_type,instruction_text,order_mode,target1,target2,target3,note
test.png,yes,icon,请在下图依次点击,given_order,香烟,纽扣,镜头,
test2.png,yes,char,请按语序依次点击,semantic_order,古,罗,马,
test3.png,yes,icon,select in this order,given_order,橄榄球,网球,探照灯,
test4.png,yes,icon,select in this order,given_order,创可贴（或人行横道）,橄榄球,磁铁,
test5.png,yes,icon,select in this order,given_order,碰杯,温度计,磁铁,
test6.png,yes,icon,select in this order,given_order,指南针,马戏团（不清楚）,锤子,
test7.png,yes,icon,select in this order,given_order,戒指（ring),磁带,房子,
test8.png,yes,icon,select in this order,given_order,墓碑,垃圾桶,浴缸,
test9.png,yes,icon,select in this order,given_order,收纳柜,自行车,喇叭（吹号）,
test10.png,yes,icon,select in this order,given_order,火烈鸟,蝗虫,灭火器（不清楚）,
test11.png,yes,icon,select in this order,given_order,风扇,创可贴（或人行横道）,瓢虫,
test12.png,yes,icon,select in this order,given_order,不清楚,剑,喇叭（吹号）,
test13.png,yes,icon,select in this order,given_order,铃铛,沙漏,泰迪熊,
test14.png,yes,icon,select in this order,given_order,象棋（不清楚）,猫头鹰,火车,
test15.png,yes,icon,select in this order,given_order,马戏团（不清楚）,雪糕,风扇,
test16.png,yes,char,请在下图依次点击,given_order,米,凉,粉,
test17.png,yes,char,请在下图依次点击,given_order,猴,头,菇,
test18.png,yes,char,请在下图依次点击,given_order,佛,手,酥,
test19.png,yes,char,请在下图依次点击,given_order,走,油,肉,
test20.png,yes,char,请在下图依次点击,given_order,姜,汁,饼,
test21.png,yes,char,请在下图依次点击,given_order,唐,纳,滋,
test22.png,yes,char,请在下图依次点击,given_order,晒,炉,肉,
test23.png,yes,char,请在下图依次点击,given_order,面,包,糠,
test24.png,yes,char,请在下图依次点击,given_order,太,阳,糕,
test25.png,yes,char,请在下图依次点击,given_order,溜,黄,菜,
test26.png,yes,char,请按语序依次点击,semantic_order,文,学,奖,
test27.png,yes,char,请按语序依次点击,semantic_order,使,用,权,
test28.png,yes,char,请按语序依次点击,semantic_order,尼,泊,尔,
test29.png,yes,char,请按语序依次点击,semantic_order,输,入,法,
test30.png,yes,char,请按语序依次点击,semantic_order,超,音,速,
test31.png,yes,char,请按语序依次点击,semantic_order,氧,化,剂,
test32.png,yes,char,请按语序依次点击,semantic_order,说,明,了,
test33.png,yes,char,请按语序依次点击,semantic_order,很,好,的,
test34.png,yes,char,请按语序依次点击,semantic_order,云,南,省,
test35.png,yes,char,请按语序依次点击,semantic_order,生,长,期,
test36.png,yes,char,请在下图依次点击,given_order,烧,花,鸭,
test37.png,yes,char,请在下图依次点击,given_order,牛,展,汤,
test38.png,yes,char,请在下图依次点击,given_order,茶,叶,粥,
test39.png,yes,char,请在下图依次点击,given_order,炸,飞,禽,
test40.png,yes,char,请在下图依次点击,given_order,马,虎,面,
test41.png,yes,char,请在下图依次点击,given_order,洪,都,鸡,
test42.png,yes,char,请在下图依次点击,given_order,幸,福,双,
test43.png,yes,char,请在下图依次点击,given_order,马,虎,面,
test44.png,yes,char,请在下图依次点击,given_order,氧,化,镁,
test45.png,yes,char,请在下图依次点击,given_order,萨,拉,米,
test46.png,yes,icon,select in this order,given_order,摩天轮,汉堡,蜗牛,
test47.png,yes,icon,select in this order,given_order,举重,吊灯,探照灯,
test48.png,yes,icon,select in this order,given_order,猫头鹰,蝗虫,安全出口（不清楚）,
test49.png,yes,icon,select in this order,given_order,汽车,射击（或拍摄）,喇叭（吹号）,
test50.png,yes,icon,select in this order,given_order,不清楚,钱袋,篮球,
test51.png,yes,char,请按语序依次点击,semantic_order,防,火,墙,
test52.png,yes,char,请按语序依次点击,semantic_order,连,续,剧,
test53.png,yes,char,请按语序依次点击,semantic_order,多,年,来,
test54.png,yes,char,请按语序依次点击,semantic_order,巨,大,的,
test55.png,yes,char,请按语序依次点击,semantic_order,衍,生,物,
test56.png,yes,char,请按语序依次点击,semantic_order,体,制,的,
test57.png,yes,char,请按语序依次点击,semantic_order,可,怕,的,
test58.png,yes,char,请按语序依次点击,semantic_order,哲,学,家,
test59.png,yes,char,请按语序依次点击,semantic_order,音,乐,剧,
test60.png,yes,char,请按语序依次点击,semantic_order,新,能,源,
test61.png,yes,icon,select in this order,given_order,吉他,工具箱,蛇,
test62.png,yes,icon,select in this order,given_order,打火机（不清楚）,轮子,萝卜（不清楚）,
test63.png,yes,icon,select in this order,given_order,自行车,垃圾桶,收音机（音乐播放器）,
test64.png,yes,icon,select in this order,given_order,不清楚,磁带,火烈鸟,
test65.png,yes,icon,select in this order,given_order,天平,墓碑,路灯,
test66.png,yes,icon,select in this order,given_order,蝴蝶,吊灯,天平,
test67.png,yes,icon,select in this order,given_order,熊掌,国际象棋（不清楚）,蛇,
test68.png,yes,icon,select in this order,given_order,橡果,洗漱台,橄榄球,
test69.png,yes,icon,select in this order,given_order,铃铛,网球,叶子,
test70.png,yes,icon,select in this order,given_order,风扇,冰棒,涡轮（不清楚）,
test71.png,yes,char,请按语序依次点击,semantic_order,毕,业,生,
test72.png,yes,char,请按语序依次点击,semantic_order,笔,记,本,
test73.png,yes,char,请按语序依次点击,semantic_order,字,符,串,
test74.png,yes,char,请按语序依次点击,semantic_order,柴,油,机,
test75.png,yes,char,请按语序依次点击,semantic_order,热,水,器,
test76.png,yes,char,请按语序依次点击,semantic_order,花,岗,岩,
test77.png,yes,char,请按语序依次点击,semantic_order,方,向,盘,
test78.png,yes,char,请按语序依次点击,semantic_order,上,海,市,
test79.png,yes,char,请按语序依次点击,semantic_order,自,定,义,
test80.png,yes,char,请按语序依次点击,semantic_order,分,辨,率,
test81.png,yes,char,请在下图依次点击,given_order,牛,里,脊,
test82.png,yes,char,请在下图依次点击,given_order,白,丰,糕,
test83.png,yes,char,请在下图依次点击,given_order,川,红,茶,
test84.png,yes,char,请在下图依次点击,given_order,夜,光,杯,
test85.png,yes,char,请在下图依次点击,given_order,啤,酒,鱼,
test86.png,yes,char,请在下图依次点击,given_order,麻,烘,糕,
test87.png,yes,char,请在下图依次点击,given_order,蓝,圣,斯,
test88.png,yes,char,请在下图依次点击,given_order,金,钱,饼,
test89.png,yes,char,请在下图依次点击,given_order,打,油,茶,
test90.png,yes,char,请在下图依次点击,given_order,耳,朵,眼,
test91.png,yes,icon,select in this order,given_order,马戏团（不清楚）,不清楚,喇叭（吹号）,
test92.png,yes,icon,select in this order,given_order,淋浴头,咖啡豆,钥匙,
test93.png,yes,icon,select in this order,given_order,蝴蝶,冰棒,涡轮（不清楚）,
test94.png,yes,icon,select in this order,given_order,风扇,戒指（ring),墨水和钢笔,
test95.png,yes,icon,select in this order,given_order,网球,火烈鸟,橡果,
test96.png,yes,icon,select in this order,given_order,项链,吊灯,探照灯,
test97.png,yes,icon,select in this order,given_order,汽车,香烟,涡轮（不清楚）,
test98.png,yes,icon,select in this order,given_order,不清楚,摩天轮,不清楚,
test99.png,yes,icon,select in this order,given_order,橡果,生化（辐射）标识,冰淇淋,
test100.png,yes,icon,select in this order,given_order,项链,收音机（音乐播放器）,轮子,
test101.png,yes,icon,select in this order,given_order,不清楚,蜗牛,蛇,
test102.png,yes,icon,select in this order,given_order,篮球,冰棒,磁铁,
test103.png,yes,icon,select in this order,given_order,不清楚,摩天轮,不清楚,
test104.png,yes,icon,select in this order,given_order,瓢虫,蜗牛,摩天轮,
test105.png,yes,icon,select in this order,given_order,吉他,工具箱,蛇,
test106.png,yes,icon,select in this order,given_order,电脑,飞机（落地）,网球,
test107.png,yes,icon,select in this order,given_order,摄像（射击）,轮子,老鹰头,
test108.png,yes,icon,select in this order,given_order,吊灯,橡果,项链,
test109.png,yes,icon,select in this order,given_order,射箭,探照灯,蜻蜓,
test110.png,yes,icon,select in this order,given_order,污渍（闪光点）,创可贴（或人行横道）,指南针,
test111.png,yes,icon,select in this order,given_order,天平,鸭子,摄像（射击）,
test112.png,yes,icon,select in this order,given_order,大脑,收纳柜,火车头,
test113.png,yes,icon,select in this order,given_order,汉堡,喇叭,香烟,
test114.png,yes,icon,select in this order,given_order,磁带,辣椒,排球,
test115.png,yes,icon,select in this order,given_order,不清楚,摩天轮,指南针,
test116.png,yes,icon,select in this order,given_order,摩天轮,指南针,萝卜（不清楚）,
test117.png,yes,icon,select in this order,given_order,摄像头,排球,举重,
test118.png,yes,icon,select in this order,given_order,不清楚,墨水,闹钟,
test119.png,yes,icon,select in this order,given_order,蛇,叶子,鼓,
test120.png,yes,icon,select in this order,given_order,不清楚,收音机（音乐播放器）,气球,
test121.png,yes,icon,select in this order,given_order,别墅,闹钟,保龄球瓶,
test122.png,yes,icon,select in this order,given_order,钱袋,生化（辐射）标识,项链,
test123.png,yes,icon,select in this order,given_order,面条,蜗牛,摄像头,
test124.png,yes,icon,select in this order,given_order,花,萝卜,吊灯,
test125.png,yes,icon,select in this order,given_order,蝗虫,自行车,芭菲,
test126.png,yes,icon,select in this order,given_order,摄像（射击）,挥手（禁止）,迪斯科球（不清楚）,
test127.png,yes,icon,select in this order,given_order,瓢虫,蝗虫,鼓,
test128.png,yes,icon,select in this order,given_order,香烟,钥匙（钥匙扣）,自行车,
test129.png,yes,icon,select in this order,given_order,温度计,不清楚,垃圾桶,
test130.png,yes,icon,select in this order,given_order,摄像头,轮子,牙齿,
test131.png,yes,icon,select in this order,given_order,花束（小花）,不清楚,浴缸,
test132.png,yes,icon,select in this order,given_order,墓碑,冰棒,蝴蝶,
test133.png,yes,icon,select in this order,given_order,保龄球瓶,铃铛,猫头鹰,
test134.png,yes,icon,select in this order,given_order,收纳柜,大炮,别墅,
test135.png,yes,char,请按语序依次点击,semantic_order,管,理,学,
test136.png,yes,char,请按语序依次点击,semantic_order,数,据,线,
test137.png,yes,char,请按语序依次点击,semantic_order,火,车,站,
test138.png,yes,char,请按语序依次点击,semantic_order,很,简,单,
test139.png,yes,char,请按语序依次点击,semantic_order,未,来,的,
test140.png,yes,char,请按语序依次点击,semantic_order,说,明,书,
test141.png,yes,char,请按语序依次点击,semantic_order,云,南,省,
test142.png,yes,char,请按语序依次点击,semantic_order,管,理,者,
test143.png,yes,char,请按语序依次点击,semantic_order,有,计,划,
test144.png,yes,char,请按语序依次点击,semantic_order,普,通,人,
test145.png,yes,char,请按语序依次点击,semantic_order,反,过,来,
test146.png,yes,char,请按语序依次点击,semantic_order,自,然,的,
test147.png,yes,char,请按语序依次点击,semantic_order,阅,览,室,
test148.png,yes,char,请按语序依次点击,semantic_order,博,士,后,
test149.png,yes,char,请按语序依次点击,semantic_order,排,行,榜,
test150.png,yes,char,请按语序依次点击,semantic_order,可,怕,的,
test151.png,yes,char,请按语序依次点击,semantic_order,竞,争,力,
test152.png,yes,char,请按语序依次点击,semantic_order,安,全,的,
test153.png,yes,char,请按语序依次点击,semantic_order,多,方,面,
test154.png,yes,char,请按语序依次点击,semantic_order,命,中,率,
test155.png,yes,char,请按语序依次点击,semantic_order,华,盛,顿,
test156.png,yes,char,请按语序依次点击,semantic_order,管,理,学,
test157.png,yes,char,请按语序依次点击,semantic_order,合,作,社,
test158.png,yes,char,请按语序依次点击,semantic_order,皇,太,后,
test159.png,yes,char,请按语序依次点击,semantic_order,技,术,的,
test160.png,yes,char,请按语序依次点击,semantic_order,发,明,了,
test161.png,yes,char,请按语序依次点击,semantic_order,身,份,证,
test162.png,yes,char,请按语序依次点击,semantic_order,抵,抗,力,
test163.png,yes,char,请按语序依次点击,semantic_order,停,车,场,
test164.png,yes,char,请按语序依次点击,semantic_order,新,西,兰,
test165.png,yes,char,请按语序依次点击,semantic_order,博,物,馆,
test166.png,yes,char,请按语序依次点击,semantic_order,有,计,划,
test167.png,yes,char,请按语序依次点击,semantic_order,播,放,器,
test168.png,yes,char,请在下图依次点击,given_order,燕,喜,堂,
test169.png,yes,char,请在下图依次点击,given_order,馏,鱼,片,
test170.png,yes,char,请在下图依次点击,given_order,韭,菜,包,
test171.png,yes,char,请在下图依次点击,given_order,紫,红,草,
test172.png,yes,char,请在下图依次点击,given_order,护,色,剂,
test173.png,yes,char,请在下图依次点击,given_order,烤,鱼,片,
test174.png,yes,char,请在下图依次点击,given_order,味,之,臾,
test175.png,yes,char,请在下图依次点击,given_order,温,泉,鸡,
test176.png,yes,char,请在下图依次点击,given_order,草,香,园,
test177.png,yes,char,请在下图依次点击,given_order,红,松,宝,
test178.png,yes,char,请在下图依次点击,given_order,菜,烩,面,
test179.png,yes,char,请在下图依次点击,given_order,刷,把,头,
test180.png,yes,char,请在下图依次点击,given_order,炒,米,粉,
test181.png,yes,char,请在下图依次点击,given_order,西,兰,花,
test182.png,yes,char,请在下图依次点击,given_order,秦,川,牌,
test183.png,yes,char,请在下图依次点击,given_order,甜,味,剂,
test184.png,yes,char,请在下图依次点击,given_order,九,黄,饼,
test185.png,yes,char,请在下图依次点击,given_order,风,车,酥,
test186.png,yes,char,请在下图依次点击,given_order,炒,米,糖,
test187.png,yes,char,请在下图依次点击,given_order,鸭,掌,包,
test188.png,yes,char,请在下图依次点击,given_order,大,卤,面,
test189.png,yes,char,请在下图依次点击,given_order,糖,心,蛋,
test190.png,yes,char,请在下图依次点击,given_order,建,新,园,
test191.png,yes,char,请在下图依次点击,given_order,杏,皮,水,
test192.png,yes,char,请在下图依次点击,given_order,青,木,瓜,
test193.png,yes,char,请在下图依次点击,given_order,大,团,圆,
test194.png,yes,char,请在下图依次点击,given_order,豆,腐,脑,
test195.png,yes,char,请在下图依次点击,given_order,南,煎,肝,
test196.png,yes,char,请在下图依次点击,given_order,冰,之,恋,
test197.png,yes,char,请在下图依次点击,given_order,辣,白,菜,
test198.png,yes,char,请在下图依次点击,given_order,粉,蒸,肉,
test199.png,yes,char,请在下图依次点击,given_order,烩,麻,食,
test200.png,yes,char,请在下图依次点击,given_order,麦,打,滚,
